Vectorization_Method_and_lead,R_n,Accuracy,,betti
Betti_Vectorization_V1_V3_1,R3_w7,0.749258385,,
Betti_Vectorization_V1_V3_5,R3_w7,0.767208314,,
Betti_Vectorization_V1_V3_10,R3_w7,0.76170052,,
Betti_Vectorization_V1_V3_100,R3_w7,0.771336797,,
Betti_Vectorization_V2_V3_1,R3_w7,0.761691072,,
Betti_Vectorization_V2_V3_5,R3_w7,0.754851205,,
Betti_Vectorization_V2_V3_10,R3_w7,0.765857345,,
Betti_Vectorization_V2_V3_100,R3_w7,0.765800661,,
Pers_Vec_Vectorization_all,R3_w7,0.774142815,,
Pers_Vec_Vectorization_V1,R3_w7,0.768455099,,
Pers_Vec_Vectorization_V2,R3_w7,0.743759513,,
Pers_Vec_Vectorization_V3,R3_w7,0.793531202,,
Pers_Vec_Vectorization_V1_V2,R3_w7,0.76307983,,
Pers_Vec_Vectorization_V1_V3,R3_w7,0.785092111,,
Pers_Vec_Vectorization_V2_V3,R3_w7,0.772716108,,
Pers_Vec_Vectorization_nooverlap_all,R3_w7,0.744700461,,
Pers_Vec_Vectorization_nooverlap_V1,R3_w7,0.760235921,,
Pers_Vec_Vectorization_nooverlap_V2,R3_w7,0.732914764,,
Pers_Vec_Vectorization_nooverlap_V3,R3_w7,0.699771689,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R3_w7,0.75341521,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R3_w7,0.743741143,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R3_w7,0.734133207,,
Pers_Vec_Vectorization_nocount_all,R3_w7,0.750255782,,
Pers_Vec_Vectorization_nocount_V1,R3_w7,0.707914764,,
Pers_Vec_Vectorization_nocount_V2,R3_w7,0.746575342,,
Pers_Vec_Vectorization_nocount_V3,R3_w7,0.746385084,,
Pers_Vec_Vectorization_nocount_V1_V2,R3_w7,0.752111479,,
Pers_Vec_Vectorization_nocount_V1_V3,R3_w7,0.764478035,,
Pers_Vec_Vectorization_nocount_V2_V3,R3_w7,0.746518658,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R3_w7,0.746564918,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R3_w7,0.741057839,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R3_w7,0.749277017,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R3_w7,0.716286149,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R3_w7,0.747860179,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R3_w7,0.754775626,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R3_w7,0.724506377,,
Pers_Vec_Vectorization_noarea_all,R3_w7,0.76219507,,
Pers_Vec_Vectorization_noarea_V1,R3_w7,0.721689498,,
Pers_Vec_Vectorization_noarea_V2,R3_w7,0.749200913,,
Pers_Vec_Vectorization_noarea_V3,R3_w7,0.754908676,,
Pers_Vec_Vectorization_noarea_V1_V2,R3_w7,0.732725555,,
Pers_Vec_Vectorization_noarea_V1_V3,R3_w7,0.749258385,,
Pers_Vec_Vectorization_noarea_V2_V3,R3_w7,0.761691072,,
Betti_Vectorization_all_1,R4_w7,0.743837991,,
Betti_Vectorization_all_5,R4_w7,0.739267746,,
Betti_Vectorization_all_10,R4_w7,0.760368664,,
Betti_Vectorization_all_100,R4_w7,0.781448442,,
Betti_Vectorization_V1_1,R4_w7,0.746651446,,
Betti_Vectorization_V1_5,R4_w7,0.771385084,,
Betti_Vectorization_V1_10,R4_w7,0.749505327,,
Betti_Vectorization_V1_100,R4_w7,0.751902588,,
Betti_Vectorization_V2_1,R4_w7,0.738356164,,
Betti_Vectorization_V2_5,R4_w7,0.721803653,,
Betti_Vectorization_V2_10,R4_w7,0.760502283,,
Betti_Vectorization_V2_100,R4_w7,0.76305175,,
Betti_Vectorization_V3_1,R4_w7,0.755022831,,
Betti_Vectorization_V3_5,R4_w7,0.752054795,,
Betti_Vectorization_V3_10,R4_w7,0.746613394,,
Betti_Vectorization_V3_100,R4_w7,0.776750381,,
Betti_Vectorization_V1_V2_1,R4_w7,0.747869627,,
Betti_Vectorization_V1_V2_5,R4_w7,0.727283892,,
Betti_Vectorization_V1_V2_10,R4_w7,0.752073689,,
Betti_Vectorization_V1_V2_100,R4_w7,0.765819556,,
Betti_Vectorization_V1_V3_1,R4_w7,0.772772792,,
Betti_Vectorization_V1_V3_5,R4_w7,0.747973547,,
Betti_Vectorization_V1_V3_10,R4_w7,0.768606519,,
Betti_Vectorization_V1_V3_100,R4_w7,0.785111006,,
Betti_Vectorization_V2_V3_1,R4_w7,0.73554086,,
Betti_Vectorization_V2_V3_5,R4_w7,0.732791686,,
Betti_Vectorization_V2_V3_10,R4_w7,0.745186585,,
Betti_Vectorization_V2_V3_100,R4_w7,0.771336797,,
Pers_Vec_Vectorization_all,R4_w7,0.765877479,,
Pers_Vec_Vectorization_V1,R4_w7,0.779528158,,
Pers_Vec_Vectorization_V2,R4_w7,0.72739726,,
Pers_Vec_Vectorization_V3,R4_w7,0.763165906,,
Pers_Vec_Vectorization_V1_V2,R4_w7,0.774095418,,
Pers_Vec_Vectorization_V1_V3,R4_w7,0.771346245,,
Pers_Vec_Vectorization_V2_V3,R4_w7,0.750694379,,
Pers_Vec_Vectorization_nooverlap_all,R4_w7,0.735534604,,
Pers_Vec_Vectorization_nooverlap_V1,R4_w7,0.74935312,,
Pers_Vec_Vectorization_nooverlap_V2,R4_w7,0.724391172,,
Pers_Vec_Vectorization_nooverlap_V3,R4_w7,0.749467275,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R4_w7,0.738308928,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R4_w7,0.749277279,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R4_w7,0.735550307,,
Pers_Vec_Vectorization_nocount_all,R4_w7,0.741998901,,
Pers_Vec_Vectorization_nocount_V1,R4_w7,0.710920852,,
Pers_Vec_Vectorization_nocount_V2,R4_w7,0.716248097,,
Pers_Vec_Vectorization_nocount_V3,R4_w7,0.699695586,,
Pers_Vec_Vectorization_nocount_V1_V2,R4_w7,0.709371752,,
Pers_Vec_Vectorization_nocount_V1_V3,R4_w7,0.731393481,,
Pers_Vec_Vectorization_nocount_V2_V3,R4_w7,0.728625413,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R4_w7,0.73738215,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4_w7,0.729946728,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4_w7,0.721841705,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4_w7,0.691400304,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4_w7,0.731459613,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4_w7,0.735493623,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4_w7,0.706622579,,
Pers_Vec_Vectorization_noarea_all,R4_w7,0.743837991,,
Pers_Vec_Vectorization_noarea_V1,R4_w7,0.746651446,,
Pers_Vec_Vectorization_noarea_V2,R4_w7,0.738356164,,
Pers_Vec_Vectorization_noarea_V3,R4_w7,0.755022831,,
Pers_Vec_Vectorization_noarea_V1_V2,R4_w7,0.747869627,,
Pers_Vec_Vectorization_noarea_V1_V3,R4_w7,0.772772792,,
Pers_Vec_Vectorization_noarea_V2_V3,R4_w7,0.73554086,,
