Vectorization_Method_and_lead,R_n,Accuracy,,,
Pers_Vec_Vectorization_V1,R3_w7,0.782458143,,,
Pers_Vec_Vectorization_V2,R3_w7,0.790791476,,,
Pers_Vec_Vectorization_V3,R3_w7,0.785312024,,,
Pers_Vec_Vectorization_V1_V2,R3_w7,0.781029759,,,
Pers_Vec_Vectorization_V1_V3,R3_w7,0.78378838,,,
Pers_Vec_Vectorization_V2_V3,R3_w7,0.785177137,,,
Pers_Vec_Vectorization_nooverlap_all,R3_w7,0.792499894,,,
Pers_Vec_Vectorization_nooverlap_V1,R3_w7,0.777016743,,,
Pers_Vec_Vectorization_nooverlap_V2,R3_w7,0.788013699,,,
Pers_Vec_Vectorization_nooverlap_V3,R3_w7,0.790791476,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R3_w7,0.783778932,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R3_w7,0.790684932,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R3_w7,0.786556448,,,
Pers_Vec_Vectorization_nocount_all,R3_w7,0.789743373,,,
Pers_Vec_Vectorization_nocount_V1,R3_w7,0.788013699,,,
Pers_Vec_Vectorization_nocount_V2,R3_w7,0.779756469,,,
Pers_Vec_Vectorization_nocount_V3,R3_w7,0.785312024,,,
Pers_Vec_Vectorization_nocount_V1_V2,R3_w7,0.785177137,,,
Pers_Vec_Vectorization_nocount_V1_V3,R3_w7,0.786547,,,
Pers_Vec_Vectorization_nocount_V2_V3,R3_w7,0.790684932,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R3_w7,0.789743373,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R3_w7,0.785273973,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R3_w7,0.785235921,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R3_w7,0.788013699,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R3_w7,0.783807274,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R3_w7,0.789305621,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R3_w7,0.790684932,,,
Pers_Vec_Vectorization_noarea_all,R3_w7,0.785139306,,,
Pers_Vec_Vectorization_noarea_V1,R3_w7,0.788089802,,,
Pers_Vec_Vectorization_noarea_V2,R3_w7,0.782572298,,,
Pers_Vec_Vectorization_noarea_V3,R3_w7,0.793569254,,,
Pers_Vec_Vectorization_noarea_V1_V2,R3_w7,0.789296174,,,
Pers_Vec_Vectorization_noarea_V1_V3,R3_w7,0.781029759,,,
Pers_Vec_Vectorization_noarea_V2_V3,R3_w7,0.782409069,,,
Betti_Vectorization_all_1,R4_w7,0.78239124,,,
Betti_Vectorization_all_5,R4_w7,0.788825942,,,
Betti_Vectorization_all_10,R4_w7,0.790665032,,,
Betti_Vectorization_all_100,R4_w7,0.792504122,,,
Betti_Vectorization_V1_1,R4_w7,0.78261035,,,
Betti_Vectorization_V1_5,R4_w7,0.78805175,,,
Betti_Vectorization_V1_10,R4_w7,0.788013699,,,
Betti_Vectorization_V1_100,R4_w7,0.779680365,,,
Betti_Vectorization_V2_1,R4_w7,0.78261035,,,
Betti_Vectorization_V2_5,R4_w7,0.785312024,,,
Betti_Vectorization_V2_10,R4_w7,0.790753425,,,
Betti_Vectorization_V2_100,R4_w7,0.78805175,,,
Betti_Vectorization_V3_1,R4_w7,0.788089802,,,
Betti_Vectorization_V3_5,R4_w7,0.782534247,,,
Betti_Vectorization_V3_10,R4_w7,0.779832572,,,
Betti_Vectorization_V3_100,R4_w7,0.796270928,,,
Betti_Vectorization_V1_V2_1,R4_w7,0.786565895,,,
Betti_Vectorization_V1_V2_5,R4_w7,0.789305621,,,
Betti_Vectorization_V1_V2_10,R4_w7,0.785177137,,,
Betti_Vectorization_V1_V2_100,R4_w7,0.779669343,,,
Betti_Vectorization_V1_V3_1,R4_w7,0.787926311,,,
Betti_Vectorization_V1_V3_5,R4_w7,0.783797827,,,
Betti_Vectorization_V1_V3_10,R4_w7,0.786547,,,
Betti_Vectorization_V1_V3_100,R4_w7,0.787916863,,,
Betti_Vectorization_V2_V3_1,R4_w7,0.790675484,,,
Betti_Vectorization_V2_V3_5,R4_w7,0.789315068,,,
Betti_Vectorization_V2_V3_10,R4_w7,0.793443552,,,
Betti_Vectorization_V2_V3_100,R4_w7,0.793443552,,,
Pers_Vec_Vectorization_all,R4_w7,0.783321355,,,
Pers_Vec_Vectorization_V1,R4_w7,0.787975647,,,
Pers_Vec_Vectorization_V2,R4_w7,0.785235921,,,
Pers_Vec_Vectorization_V3,R4_w7,0.768759513,,,
Pers_Vec_Vectorization_V1_V2,R4_w7,0.78516769,,,
Pers_Vec_Vectorization_V1_V3,R4_w7,0.775521965,,,
Pers_Vec_Vectorization_V2_V3,R4_w7,0.771393481,,,
Pers_Vec_Vectorization_nooverlap_all,R4_w7,0.790660804,,,
Pers_Vec_Vectorization_nooverlap_V1,R4_w7,0.779680365,,,
