Vectorization_Method_and_lead,R_n,Accuracy
Pers_Vec_Vectorization_V3,R3_w7,0.7906392694063926
Pers_Vec_Vectorization_V1_V2,R3_w7,0.7906282475200757
Pers_Vec_Vectorization_V1_V3,R3_w7,0.7947756258856872
Pers_Vec_Vectorization_V2_V3,R3_w7,0.7961549362305149
Pers_Vec_Vectorization_nooverlap_all,R3_w7,0.7897180061725786
Pers_Vec_Vectorization_nooverlap_V1,R3_w7,0.8016362252663622
Pers_Vec_Vectorization_nooverlap_V2,R3_w7,0.7767884322678843
Pers_Vec_Vectorization_nooverlap_V3,R3_w7,0.7851598173515981
Pers_Vec_Vectorization_nooverlap_V1_V2,R3_w7,0.7864903164855928
Pers_Vec_Vectorization_nooverlap_V1_V3,R3_w7,0.7906376948512046
Pers_Vec_Vectorization_nooverlap_V2_V3,R3_w7,0.782361832782239
Pers_Vec_Vectorization_nocount_all,R3_w7,0.7888090305669471
Pers_Vec_Vectorization_nocount_V1,R3_w7,0.7851598173515981
Pers_Vec_Vectorization_nocount_V2,R3_w7,0.7823439878234398
Pers_Vec_Vectorization_nocount_V3,R3_w7,0.7796423135464231
Pers_Vec_Vectorization_nocount_V1_V2,R3_w7,0.7864903164855928
Pers_Vec_Vectorization_nocount_V1_V3,R3_w7,0.7837411431270667
Pers_Vec_Vectorization_nocount_V2_V3,R3_w7,0.7878790741615493
Pers_Vec_Vectorization_nocount_nooverlap_all,R3_w7,0.789713778379064
Pers_Vec_Vectorization_nocount_nooverlap_V1,R3_w7,0.7988584474885844
Pers_Vec_Vectorization_nocount_nooverlap_V2,R3_w7,0.7767884322678843
Pers_Vec_Vectorization_nocount_nooverlap_V3,R3_w7,0.7851217656012176
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R3_w7,0.7920075578649032
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R3_w7,0.7906282475200757
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R3_w7,0.7796032120925839
Pers_Vec_Vectorization_noarea_all,R3_w7,0.7952352767090856
Pers_Vec_Vectorization_noarea_V1,R3_w7,0.7934170471841705
