Vectorization_Method,Dimension,Leads,N,TIME
Pers_Vec_Vectorization,R4,_V1_V3,0,2.618283272
Pers_Vec_Vectorization,R4,_V2_V3,0,2.600405216
Pers_Vec_Vectorization_nooverlap,R2,_all,0,2.676832914
Pers_Vec_Vectorization_nooverlap,R2,_V1,0,1.725447416
Pers_Vec_Vectorization_nooverlap,R2,_V2,0,1.723702431
Pers_Vec_Vectorization_nooverlap,R2,_V3,0,1.712386608
Pers_Vec_Vectorization_nooverlap,R2,_V1_V2,0,2.425754547
Pers_Vec_Vectorization_nooverlap,R2,_V1_V3,0,2.419664621
Pers_Vec_Vectorization_nooverlap,R2,_V2_V3,0,2.410333157
Pers_Vec_Vectorization_nooverlap,R3,_all,0,2.45458746
Pers_Vec_Vectorization_nooverlap,R3,_V1,0,1.768339396
Pers_Vec_Vectorization_nooverlap,R3,_V2,0,1.746972084
Pers_Vec_Vectorization_nooverlap,R3,_V3,0,1.736435652
Pers_Vec_Vectorization_nooverlap,R3,_V1_V2,0,2.49813652
Pers_Vec_Vectorization_nooverlap,R3,_V1_V3,0,2.486507893
Pers_Vec_Vectorization_nooverlap,R3,_V2_V3,0,2.475242376
Pers_Vec_Vectorization_nooverlap,R4,_all,0,2.485721588
Pers_Vec_Vectorization_nooverlap,R4,_V1,0,1.791617393
Pers_Vec_Vectorization_nooverlap,R4,_V2,0,1.76566267
Pers_Vec_Vectorization_nooverlap,R4,_V3,0,1.748161316
Pers_Vec_Vectorization_nooverlap,R4,_V1_V2,0,2.54612875
Pers_Vec_Vectorization_nooverlap,R4,_V1_V3,0,2.522469282
Pers_Vec_Vectorization_nooverlap,R4,_V2_V3,0,2.495102644
Pers_Vec_Vectorization_nocount,R2,_all,0,2.516315699
Pers_Vec_Vectorization_nocount,R2,_V1,0,1.771876574
Pers_Vec_Vectorization_nocount,R2,_V2,0,1.762615681
Pers_Vec_Vectorization_nocount,R2,_V3,0,1.753411293
Pers_Vec_Vectorization_nocount,R2,_V1_V2,0,2.507675409
Pers_Vec_Vectorization_nocount,R2,_V1_V3,0,2.502826691
Pers_Vec_Vectorization_nocount,R2,_V2_V3,0,2.494171619
Pers_Vec_Vectorization_nocount,R3,_all,0,2.551891804
Pers_Vec_Vectorization_nocount,R3,_V1,0,1.814215422
Pers_Vec_Vectorization_nocount,R3,_V2,0,1.790886402
Pers_Vec_Vectorization_nocount,R3,_V3,0,1.779956818
Pers_Vec_Vectorization_nocount,R3,_V1_V2,0,2.582841396
Pers_Vec_Vectorization_nocount,R3,_V1_V3,0,2.573585033
Pers_Vec_Vectorization_nocount,R3,_V2_V3,0,2.557745218
Pers_Vec_Vectorization_nocount,R4,_all,0,2.574557304
Pers_Vec_Vectorization_nocount,R4,_V1,0,1.842048645
Pers_Vec_Vectorization_nocount,R4,_V2,0,1.809738874
Pers_Vec_Vectorization_nocount,R4,_V3,0,1.79242444
Pers_Vec_Vectorization_nocount,R4,_V1_V2,0,2.622610331
Pers_Vec_Vectorization_nocount,R4,_V1_V3,0,2.607507229
Pers_Vec_Vectorization_nocount,R4,_V2_V3,0,2.580506325
Pers_Vec_Vectorization_nocount_nooverlap,R2,_all,0,2.401747227
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V1,0,1.723978996
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V2,0,1.715834856
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V3,0,1.706656456
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V1_V2,0,2.410383701
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V1_V3,0,2.404095173
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V2_V3,0,2.395425558
Pers_Vec_Vectorization_nocount_nooverlap,R3,_all,0,2.452193022
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V1,0,1.76374197
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V2,0,1.743313313
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V3,0,1.732176065
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V1_V2,0,2.486086607
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V1_V3,0,2.476004362
